round,work_amount,round_duration
0,0,30000000
1,0,30000000
2,0,20000000
3,0,30000000
4,0,20000000
5,0,30000000
6,0,20000000
7,0,20000000
8,0,30000000
9,0,20000000
10,0,30000000
11,0,30000000
12,0,20000000
13,0,30000000
14,0,30000000
15,0,20000000
16,0,30000000
17,0,30000000
18,0,20000000
19,0,30000000
20,0,20000000
21,0,30000000
22,0,30000000
23,0,20000000
24,0,30000000
25,0,30000000
26,0,20000000
27,0,30000000
28,0,20000000
29,0,20000000
30,0,30000000
31,0,20000000
32,0,30000000
33,0,20000000
34,0,30000000
35,0,30000000
36,0,20000000
37,0,30000000
38,0,20000000
39,0,30000000
40,0,20000000
41,0,30000000
42,0,30000000
43,0,20000000
44,0,30000000
45,0,20000000
46,0,30000000
47,0,30000000
48,0,20000000
49,0,30000000
50,0,30000000
51,0,20000000
52,0,30000000
53,0,30000000
54,0,20000000
55,0,30000000
56,0,30000000
57,0,30000000
58,0,30000000
59,0,20000000
60,0,30000000
61,0,30000000
62,0,30000000
63,0,20000000
64,0,30000000
65,0,30000000
66,0,20000000
67,0,30000000
68,0,30000000
69,0,20000000
70,0,30000000
71,0,30000000
72,0,20000000
73,0,30000000
74,0,30000000
75,0,30000000
76,0,30000000
77,0,30000000
78,0,20000000
79,0,30000000
80,0,30000000
81,0,30000000
82,0,30000000
83,0,30000000
84,0,30000000
85,0,20000000
86,0,30000000
87,0,30000000
88,0,30000000
89,0,20000000
90,0,30000000
91,0,30000000
92,0,20000000
93,0,30000000
94,0,30000000
95,0,30000000
96,0,20000000
97,0,30000000
98,0,30000000
99,0,20000000
100,0,30000000
101,0,30000000
102,0,30000000
103,0,20000000
104,0,30000000
105,0,30000000
106,0,30000000
107,0,30000000
108,0,20000000
109,0,30000000
110,0,30000000
111,0,20000000
112,0,30000000
113,0,20000000
114,0,30000000
115,0,30000000
116,0,20000000
117,0,30000000
118,0,20000000
119,0,30000000
120,0,30000000
121,0,20000000
122,0,30000000
123,0,30000000
124,0,20000000
125,0,30000000
126,0,20000000
127,0,30000000
128,0,30000000
129,0,30000000
130,0,20000000
131,0,30000000
132,0,30000000
133,0,30000000
134,0,20000000
135,0,30000000
136,0,30000000
137,0,30000000
138,0,30000000
139,0,20000000
140,0,30000000
141,0,30000000
142,0,30000000
143,0,20000000
144,0,30000000
145,0,30000000
146,0,30000000
147,0,30000000
148,0,20000000
149,0,30000000
150,0,30000000
151,0,30000000
152,0,20000000
153,0,30000000
154,0,30000000
155,0,20000000
156,0,30000000
157,0,30000000
158,0,20000000
159,0,30000000
160,0,20000000
161,0,30000000
162,0,30000000
163,0,20000000
164,0,30000000
165,0,30000000
166,0,20000000
167,0,30000000
168,0,30000000
169,0,20000000
170,0,30000000
171,0,30000000
172,0,20000000
173,0,30000000
174,0,20000000
175,0,30000000
176,0,30000000
177,0,20000000
178,0,30000000
179,0,30000000
180,0,20000000
181,0,30000000
182,0,30000000
183,0,20000000
184,0,30000000
185,0,20000000
186,0,30000000
187,0,30000000
188,0,20000000
189,0,30000000
190,0,20000000
191,0,30000000
192,0,20000000
193,0,20000000
194,0,30000000
195,0,30000000
196,0,20000000
197,0,30000000
198,0,30000000
199,0,30000000
200,0,20000000
201,0,30000000
202,0,30000000
203,0,20000000
204,0,30000000
205,0,30000000
206,0,30000000
207,0,20000000
208,0,30000000
209,0,30000000
210,0,20000000
211,0,30000000
212,0,30000000
213,0,20000000
214,0,30000000
215,0,30000000
216,0,20000000
217,0,30000000
218,0,30000000
219,0,20000000
220,0,30000000
221,0,20000000
222,0,30000000
223,0,30000000
224,0,30000000
225,0,30000000
